packageName,packageDetails,packagePrice,discountAvailable
"Adventure Kyoto Tour","11-day immersive journey staying in traditional ryokans, featuring local craft workshops and meditation sessions. Includes artisan demonstrations, expert guides, and personalized itinerary planning. All accommodations and guided experiences included.",2672,false
"Wine & Food Tuscany Safari","12-day immersive journey staying in heritage hotels, featuring cooking classes and scenic drives. Includes local interactions, artisan demonstrations, and personalized itinerary planning. All accommodations and guided experiences included.",6113,true
"Adventure Norwegian Fjords Safari","7-day immersive journey staying in mountain lodges, featuring local craft workshops and outdoor adventures. Includes exclusive access, gourmet dining, and personalized itinerary planning. All accommodations and guided experiences included.",4971,false
"Cultural Swiss Alps Explorer","12-day immersive journey staying in traditional ryokans, featuring photography workshops and guided tours. Includes cultural immersion, local interactions, and personalized itinerary planning. All accommodations and guided experiences included.",7917,false
"Cultural Provence Discovery","14-day immersive journey staying in rainforest lodges, featuring wildlife encounters and photography workshops. Includes local interactions, gourmet dining, and personalized itinerary planning. All accommodations and guided experiences included.",4797,true
"Adventure Turkish Coast Explorer","15-day immersive journey staying in spa resorts, featuring wine tastings and outdoor adventures. Includes private transfers, sunset experiences, and personalized itinerary planning. All accommodations and guided experiences included.",2925,false
"Art & Design Tuscany Expedition","15-day immersive journey staying in desert camps, featuring guided tours and cultural performances. Includes exclusive access, exclusive access, and personalized itinerary planning. All accommodations and guided experiences included.",7078,false
"Wellness Tuscany Journey","12-day immersive journey staying in spa resorts, featuring wellness treatments and cultural performances. Includes private transfers, behind-the-scenes tours, and personalized itinerary planning. All accommodations and guided experiences included.",7207,true
"Spiritual Vietnam Journey","12-day immersive journey staying in desert camps, featuring photography workshops and cooking classes. Includes artisan demonstrations, traditional ceremonies, and personalized itinerary planning. All accommodations and guided experiences included.",7842,false
"Cultural Bali Expedition","9-day immersive journey staying in traditional ryokans, featuring photography workshops and guided tours. Includes sunset experiences, behind-the-scenes tours, and personalized itinerary planning. All accommodations and guided experiences included.",2643,false
"Eco Peru Explorer","6-day immersive journey staying in coastal retreats, featuring wine tastings and guided tours. Includes exclusive access, artisan demonstrations, and personalized itinerary planning. All accommodations and guided experiences included.",4184,false
"Wildlife Morocco Quest","14-day immersive journey staying in eco-lodges, featuring wildlife encounters and cultural performances. Includes gourmet dining, private transfers, and personalized itinerary planning. All accommodations and guided experiences included.",2609,false
"Eco Peru Experience","7-day immersive journey staying in rainforest lodges, featuring guided tours and outdoor adventures. Includes behind-the-scenes tours, local interactions, and personalized itinerary planning. All accommodations and guided experiences included.",7797,false
"Art & Design Morocco Safari","11-day immersive journey staying in heritage hotels, featuring wildlife encounters and wine tastings. Includes behind-the-scenes tours, private transfers, and personalized itinerary planning. All accommodations and guided experiences included.",4794,false
"Wine & Food New Zealand Explorer","8-day immersive journey staying in eco-lodges, featuring local craft workshops and wine tastings. Includes expert guides, local interactions, and personalized itinerary planning. All accommodations and guided experiences included.",2986,false
"Adventure Iceland Escape","9-day immersive journey staying in boutique resorts, featuring outdoor adventures and outdoor adventures. Includes cultural immersion, sunset experiences, and personalized itinerary planning. All accommodations and guided experiences included.",3130,false
"Cultural New Zealand Quest","15-day immersive journey staying in luxury hotels, featuring meditation sessions and meditation sessions. Includes behind-the-scenes tours, expert guides, and personalized itinerary planning. All accommodations and guided experiences included.",8090,false
"Cultural Tuscany Journey","10-day immersive journey staying in desert camps, featuring meditation sessions and photography workshops. Includes exclusive access, artisan demonstrations, and personalized itinerary planning. All accommodations and guided experiences included.",3883,false
"Photography Swiss Alps Explorer","8-day immersive journey staying in spa resorts, featuring local craft workshops and cooking classes. Includes cultural immersion, exclusive access, and personalized itinerary planning. All accommodations and guided experiences included.",3976,false
"Art & Design Greek Islands Safari","8-day immersive journey staying in traditional ryokans, featuring photography workshops and cooking classes. Includes sunset experiences, local interactions, and personalized itinerary planning. All accommodations and guided experiences included.",6091,false
"Spiritual Tuscany Retreat","6-day immersive journey staying in spa resorts, featuring cultural performances and local craft workshops. Includes behind-the-scenes tours, exclusive access, and personalized itinerary planning. All accommodations and guided experiences included.",6768,true
"Adventure Provence Quest","8-day immersive journey staying in mountain lodges, featuring local craft workshops and guided tours. Includes private transfers, behind-the-scenes tours, and personalized itinerary planning. All accommodations and guided experiences included.",3315,false
"Adventure Turkish Coast Escape","11-day immersive journey staying in mountain lodges, featuring local craft workshops and wildlife encounters. Includes cultural immersion, cultural immersion, and personalized itinerary planning. All accommodations and guided experiences included.",7576,true
"Luxury Bali Adventure","7-day immersive journey staying in eco-lodges, featuring wine tastings and wine tastings. Includes exclusive access, expert guides, and personalized itinerary planning. All accommodations and guided experiences included.",4010,true
"Culinary Norwegian Fjords Quest","15-day immersive journey staying in luxury hotels, featuring photography workshops and wellness treatments. Includes traditional ceremonies, gourmet dining, and personalized itinerary planning. All accommodations and guided experiences included.",5877,true
"Wildlife Thailand Quest","15-day immersive journey staying in boutique resorts, featuring meditation sessions and wine tastings. Includes behind-the-scenes tours, exclusive access, and personalized itinerary planning. All accommodations and guided experiences included.",4528,false
"Historical Norwegian Fjords Voyage","8-day immersive journey staying in traditional ryokans, featuring cooking classes and art workshops. Includes behind-the-scenes tours, private transfers, and personalized itinerary planning. All accommodations and guided experiences included.",6103,true
"Wine & Food Provence Experience","15-day immersive journey staying in boutique resorts, featuring wine tastings and scenic drives. Includes exclusive access, traditional ceremonies, and personalized itinerary planning. All accommodations and guided experiences included.",3941,true
"Wine & Food Swiss Alps Escape","14-day immersive journey staying in luxury hotels, featuring guided tours and scenic drives. Includes private transfers, exclusive access, and personalized itinerary planning. All accommodations and guided experiences included.",3210,true
"Historical Safari Africa Quest","15-day immersive journey staying in desert camps, featuring meditation sessions and photography workshops. Includes artisan demonstrations, cultural immersion, and personalized itinerary planning. All accommodations and guided experiences included.",2600,false
