museumName,exhibitHighlights,entryFee,openToday
"Art Institute of Chicago","Houses a comprehensive collection of Impressionist and Post-Impressionist paintings, including works by Monet, Renoir, and Seurat. Features Grant Wood's American Gothic and Edward Hopper's Nighthawks.",25,true
"Museo Nacional Centro de Arte Reina Sofía","Home to Picasso's Guernica, showcasing 20th-century Spanish art. Features works by Dalí, Miró, and Gris. Houses a significant collection of Surrealist and Cubist masterpieces.",10,true
"National Gallery","Houses a collection of Western European paintings from the 13th to the 19th centuries. Features works by Van Eyck, Michelangelo, and Titian. Renowned for its collection of Italian Renaissance paintings.",0,true
"Tate Modern","Showcases international modern and contemporary art, with a focus on works from the 20th and 21st centuries. Features a diverse range of media, including painting, sculpture, and performance art.",0,true
"Centre Pompidou","Houses a vast collection of modern and contemporary art, including works by Picasso, Matisse, and Kandinsky. Features exhibits on painting, sculpture, photography, and design.",14,true
"Prado National Museum","World-renowned for its collection of Spanish masters, including Goya, Velázquez, and El Greco. Houses European paintings from the 12th to 19th centuries. Features masterpieces of the Italian Renaissance and Flemish schools.",15,true
"The Hermitage Museum","One of the largest and oldest museums globally, with over 3 million items. Renowned for its collection of Impressionist and Post-Impressionist paintings, including works by Matisse and Picasso. Houses masterpieces from the Italian Renaissance and Dutch Golden Age.",20,false
"National Museum of Korea","Comprehensive collection of Korean art and archaeology, including ancient pottery, Buddhist sculptures, and royal artifacts. Features exhibits on Korean history and culture from prehistoric times to the present.",0,true
"Victoria and Albert Museum","World's leading museum of art, design, and performance. Houses a vast collection of decorative arts and design, including fashion, furniture, and ceramics. Features exhibits on theatre, photography, and architecture.",0,true
"Louvre Abu Dhabi","Universal museum showcasing art from around the world, with a focus on cultural exchange and dialogue. Features works from ancient civilizations to contemporary art. Houses masterpieces on loan from French museums.",17,true
"National Gallery of Victoria","Australia's oldest and most visited art museum. Houses a comprehensive collection of Australian and international art, including works by Rembrandt, Picasso, and Aboriginal artists.",0,true
"Los Angeles County Museum of Art (LACMA)","Encyclopedic museum showcasing art from around the world, with a focus on ancient, Asian, and Latin American art. Features a diverse range of media, including painting, sculpture, and photography.",25,true
"Museum of Fine Arts, Boston","Houses a comprehensive collection of art from around the world, including Egyptian artifacts, Asian art, and European paintings. Features works by Rembrandt, Van Gogh, and Monet.",25,true
"The Broad","Contemporary art museum showcasing the collection of Eli and Edythe Broad. Features works by Warhol, Koons, and Haring. Houses a significant collection of postwar and contemporary art.",0,true
"National Museum of Modern Art, Tokyo","Showcases Japanese and international modern and contemporary art, with a focus on works from the 20th and 21st centuries. Features a diverse range of media, including painting, sculpture, and photography.",5,true
"Museo Nacional de Antropología","Extensive collection of pre-Columbian artifacts from Mexico, including Mayan and Aztec treasures. Features the Stone of the Sun and jade masks. Showcases the cultural heritage of Mexico's indigenous peoples.",8,true
"Rijksmuseum Amsterdam","National museum dedicated to Dutch arts and history. Houses Rembrandt's Night Watch and Vermeer's Milkmaid. Features a comprehensive collection of Dutch Golden Age paintings and artifacts.",20,false
"Pergamon Museum","Houses a collection of monumental ancient architecture, including the Pergamon Altar, Ishtar Gate, and Market Gate of Miletus. Features exhibits on ancient Near Eastern and Islamic art.",19,true
"The Art Institute of Chicago","Houses a comprehensive collection of Impressionist and Post-Impressionist paintings, including works by Monet, Renoir, and Seurat. Features Grant Wood's American Gothic and Edward Hopper's Nighthawks.",25,true
"National Museum of China","Comprehensive collection of Chinese art and archaeology, including ancient bronzes, ceramics, and calligraphy. Features exhibits on Chinese history and culture from prehistoric times to the present.",0,true
"Museum of Modern Art","World-renowned for its collection of modern and contemporary art, including works by Picasso, Warhol, and Van Gogh. Features exhibits on painting, sculpture, photography, and film.",25,true
"National Gallery, London","Houses a collection of Western European paintings from the 13th to the 19th centuries. Features works by Van Eyck, Michelangelo, and Titian. Renowned for its collection of Italian Renaissance paintings.",0,true
"Guggenheim Museum Bilbao","Showcases modern and contemporary art in a striking titanium building designed by Frank Gehry. Features works by Picasso, Koons, and Serra. Houses a significant collection of Basque art.",16,true
"Vatican Museum","Complex of museums showcasing papal collections amassed over centuries. Features the Sistine Chapel with Michelangelo's ceiling frescoes, Raphael Rooms, and a vast collection of sculptures and paintings.",17,true
"The State Hermitage Museum","One of the largest and oldest museums globally, with over 3 million items. Renowned for its collection of Impressionist and Post-Impressionist paintings, including works by Matisse and Picasso. Houses masterpieces from the Italian Renaissance and Dutch Golden Age.",20,false
"Tokyo Metropolitan Art Museum","Showcases a diverse range of art, including Japanese paintings, sculptures, and prints. Features temporary exhibitions and a collection of contemporary art.",5,true
"National Museum of Ethnology, Osaka","Explores the cultures of the world through a vast collection of artifacts and ethnographic displays. Features exhibits on Japanese and Asian cultures, as well as cultures from around the globe.",6,false
"National Gallery of Canada","Houses a comprehensive collection of Canadian and international art, including works by the Group of Seven, Emily Carr, and European masters.",16,true
"Museo Nacional del Prado","World-renowned for its collection of Spanish masters, including Goya, Velázquez, and El Greco. Houses European paintings from the 12th to 19th centuries. Features masterpieces of the Italian Renaissance and Flemish schools.",15,true
"The British Museum","Vast collection of world artifacts including the Rosetta Stone, Parthenon sculptures, and Egyptian mummies. Features comprehensive exhibits on human history and culture, from prehistoric to modern times. Houses one of the world's finest collections of prints and drawings.",0,false
"The Metropolitan Museum of Art","Home to over 2 million works spanning 5,000 years of human creativity. Features an exceptional collection of European paintings, including works by Van Gogh and Rembrandt, extensive Egyptian antiquities, and the iconic Temple of Dendur. American Wing showcases native art from colonial to modern periods.",25,true
