destinationName,destinationDescription,averageVisitCost,popular
"Queenstown, Turkey","Alpine destination featuring remarkable ancient ruins and artisan workshops. Experience local traditions and immerse yourself in local culture and traditions. Known for its monasteries and photography spots.",3691,true
"Italy Desert","Countryside destination featuring remarkable art galleries and wine tasting. Experience authentic cuisine and immerse yourself in local culture and traditions. Distinguished by its palaces and hiking trails.",2630,false
"Barcelona, Vietnam","Island destination featuring remarkable historical districts and diving sites. Experience authentic cuisine and immerse yourself in local culture and traditions. Famous for its traditional villages and wine tasting.",3957,false
"Chiang Mai, India","Coastal destination featuring remarkable museums and diving sites. Experience traditional crafts and immerse yourself in local culture and traditions. Renowned for its archaeological sites and thermal springs.",1986,true
"Porto, Brazil","Valley destination featuring remarkable temples and cultural workshops. Experience authentic cuisine and immerse yourself in local culture and traditions. Celebrated for its markets and thermal springs.",1562,false
"Vietnam Valley","Countryside destination featuring remarkable traditional villages and photography spots. Experience vibrant culture and immerse yourself in local culture and traditions. Renowned for its museums and thermal springs.",3422,false
"Hoi An, Italy","Fjord destination featuring remarkable monasteries and wildlife watching. Experience pristine nature and immerse yourself in local culture and traditions. Celebrated for its sacred sites and wildlife watching.",3448,false
"Bergen, Turkey","Coastal destination featuring remarkable monasteries and scenic drives. Experience ancient heritage and immerse yourself in local culture and traditions. Distinguished by its castles and cultural workshops.",3832,true
"Marrakech, New Zealand","Countryside destination featuring remarkable temples and cultural workshops. Experience artistic legacy and immerse yourself in local culture and traditions. Renowned for its markets and wildlife watching.",1735,true
"France Hills","Alpine destination featuring remarkable museums and wine tasting. Experience natural wonders and immerse yourself in local culture and traditions. Famous for its monasteries and diving sites.",3912,false
"Rhodes, Thailand","Urban destination featuring remarkable museums and food tours. Experience rich history and immerse yourself in local culture and traditions. Famous for its archaeological sites and wildlife watching.",2939,true
"Rhodes, Spain","Reef destination featuring remarkable castles and local festivals. Experience natural wonders and immerse yourself in local culture and traditions. Renowned for its monasteries and artisan workshops.",4406,true
"Sydney, Norway","Coastal destination featuring remarkable ancient ruins and food tours. Experience traditional crafts and immerse yourself in local culture and traditions. Known for its sacred sites and artisan workshops.",2817,false
"Cappadocia, Turkey","Forest destination featuring remarkable historical districts and food tours. Experience artistic legacy and immerse yourself in local culture and traditions. Distinguished by its archaeological sites and water sports.",3747,true
"Kyoto, Iceland","Forest destination featuring remarkable castles and wine tasting. Experience natural wonders and immerse yourself in local culture and traditions. Renowned for its traditional villages and photography spots.",3890,true
"Kyoto, Egypt","Coastal destination featuring remarkable monasteries and photography spots. Experience rich history and immerse yourself in local culture and traditions. Famous for its palaces and photography spots.",1560,true
"Peru Caves","Forest destination featuring remarkable temples and cultural workshops. Experience ancient heritage and immerse yourself in local culture and traditions. Renowned for its castles and thermal springs.",2244,false
"Thailand Alps","Fjord destination featuring remarkable palaces and cultural workshops. Experience stunning architecture and immerse yourself in local culture and traditions. Known for its markets and local festivals.",3409,false
"Barcelona, Greece","Desert destination featuring remarkable temples and cultural workshops. Experience ancient heritage and immerse yourself in local culture and traditions. Famous for its sacred sites and wine tasting.",2419,true
"Hoi An, Norway","Valley destination featuring remarkable palaces and hiking trails. Experience unique experiences and immerse yourself in local culture and traditions. Celebrated for its ancient ruins and hiking trails.",1781,false
"Barcelona, Peru","Urban destination featuring remarkable ancient ruins and diving sites. Experience breathtaking views and immerse yourself in local culture and traditions. Distinguished by its markets and photography spots.",3328,true
"Indonesia Alps","Mountainous destination featuring remarkable museums and scenic drives. Experience unique experiences and immerse yourself in local culture and traditions. Famous for its sacred sites and wildlife watching.",2014,false
"Porto, Turkey","Countryside destination featuring remarkable art galleries and wildlife watching. Experience breathtaking views and immerse yourself in local culture and traditions. Known for its archaeological sites and wine tasting.",3184,false
"Cusco, India","Reef destination featuring remarkable art galleries and hiking trails. Experience traditional crafts and immerse yourself in local culture and traditions. Famous for its art galleries and wine tasting.",2823,true
