Question Number,Question,Manual State
11,List all students who are enrolled full-time.,"To find courses open for enrollment, query ""Which courses are currently open for enrollment?"" and ensure the 'currentlyEnrolling' field is 'True'. Use a duration filter for courses under 10 hours or 40 hours and more. Include keywords in course descriptions to search by topic. Verify course titles for key learning outcomes if no results appear. To find instructors with over 10 years of experience, query ""Which instructors have over 10 years of teaching experience?"" and check the 'yearsOfTeaching' field. View an instructor's biography by querying ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. Identify tenured instructors by querying ""Which instructors are tenured?"" and ensuring the 'tenured' field is 'True'. To find the instructor with the longest teaching career, use ""Who has the longest teaching career among all instructors?"" and check the 'yearsOfTeaching' field for the maximum value. For instructors emphasizing a 'hands-on learning' philosophy, query ""Which instructors mention a 'hands-on learning' philosophy in their biography?"" and search for the phrase in the 'biography' field. List all full-time enrolled students by querying ""List all students who are enrolled full-time"" and ensuring the 'enrolledFullTime' field is 'True'."
12,Which students have completed more than 30 credits?,"To find open courses, query ""Which courses are currently open for enrollment?"" and ensure 'currentlyEnrolling' is 'True'. Use duration filters for courses under 10 hours or 40 hours and more. Include keywords in descriptions to search by topic. Verify course titles for key outcomes if no results appear. To find experienced instructors, query ""Which instructors have over 10 years of teaching experience?"" and check 'yearsOfTeaching'. View an instructor's biography by querying ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. Identify tenured instructors by querying ""Which instructors are tenured?"" and ensure 'tenured' is 'True'. To find the instructor with the longest career, use ""Who has the longest teaching career among all instructors?"" and check 'yearsOfTeaching' for the maximum value. For instructors with a 'hands-on learning' philosophy, query ""Which instructors mention a 'hands-on learning' philosophy in their biography?"" and search the 'biography' field. List full-time students by querying ""List all students who are enrolled full-time"" and ensure 'enrolledFullTime' is 'True'. To find students with over 30 credits, query ""Which students have completed more than 30 credits?"" and check 'completedCredits' for values over 30."
13,Show me the research interests of the student named 'Alex Johnson'.,"To find open courses, query ""Which courses are currently open for enrollment?"" and ensure 'currentlyEnrolling' is 'True'. Use duration filters for courses under 10 hours or 40 hours and more. Include keywords in descriptions to search by topic. Verify course titles for key outcomes if no results appear. To find experienced instructors, query ""Which instructors have over 10 years of teaching experience?"" and check 'yearsOfTeaching'. View an instructor's biography by querying ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. Identify tenured instructors by querying ""Which instructors are tenured?"" and ensure 'tenured' is 'True'. To find the instructor with the longest career, use ""Who has the longest teaching career among all instructors?"" and check 'yearsOfTeaching' for the maximum value. For instructors with a 'hands-on learning' philosophy, query ""Which instructors mention a 'hands-on learning' philosophy in their biography?"" and search the 'biography' field. List full-time students by querying ""List all students who are enrolled full-time"" and ensure 'enrolledFullTime' is 'True'. To find students with over 30 credits, query ""Which students have completed more than 30 credits?"" and check 'completedCredits' for values over 30. To find a student's research interests, query ""Show me the research interests of the student named [Student's Name]"" and ensure the name is spelled correctly."
14,Find students with research interests in machine learning or data science.,"To find open courses, query ""Which courses are currently open for enrollment?"" and ensure 'currentlyEnrolling' is 'True'. Use duration filters for courses under 10 hours or 40 hours and more. Include keywords in descriptions to search by topic. Verify course titles for key outcomes if no results appear. To find experienced instructors, query ""Which instructors have over 10 years of teaching experience?"" and check 'yearsOfTeaching'. View an instructor's biography by querying ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. Identify tenured instructors by querying ""Which instructors are tenured?"" and ensure 'tenured' is 'True'. To find the instructor with the longest career, use ""Who has the longest teaching career among all instructors?"" and check 'yearsOfTeaching' for the maximum value. For instructors with a 'hands-on learning' philosophy, query ""Which instructors mention a 'hands-on learning' philosophy in their biography?"" and search the 'biography' field. List full-time students by querying ""List all students who are enrolled full-time"" and ensure 'enrolledFullTime' is 'True'. To find students with over 30 credits, query ""Which students have completed more than 30 credits?"" and check 'completedCredits' for values over 30. To find a student's research interests, query ""Show me the research interests of the student named [Student's Name]"" and ensure the name is spelled correctly. To find students with specific research interests, such as machine learning or data science, query ""Find students with research interests in [specific topic]"" and search the 'researchInterests' field for relevant keywords."
15,Which students are pursuing studies in artificial intelligence?,"To find open courses, query ""Which courses are currently open for enrollment?"" and ensure 'currentlyEnrolling' is 'True'. Use duration filters for courses under 10 hours or 40 hours and more. Include keywords in descriptions to search by topic. Verify course titles for key outcomes if no results appear. To find experienced instructors, query ""Which instructors have over 10 years of teaching experience?"" and check 'yearsOfTeaching'. View an instructor's biography by querying ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. Identify tenured instructors by querying ""Which instructors are tenured?"" and ensure 'tenured' is 'True'. To find the instructor with the longest career, use ""Who has the longest teaching career among all instructors?"" and check 'yearsOfTeaching' for the maximum value. For instructors with a 'hands-on learning' philosophy, query ""Which instructors mention a 'hands-on learning' philosophy in their biography?"" and search the 'biography' field. List full-time students by querying ""List all students who are enrolled full-time"" and ensure 'enrolledFullTime' is 'True'. To find students with over 30 credits, query ""Which students have completed more than 30 credits?"" and check 'completedCredits' for values over 30. To find a student's research interests, query ""Show me the research interests of the student named [Student's Name]"" and ensure the name is spelled correctly. To find students with specific research interests, such as machine learning, data science, or artificial intelligence, query ""Find students with research interests in [specific topic]"" and search the 'researchInterests' field for relevant keywords."
16,Which instructors have a biography mentioning 'online teaching methods' and have been teaching for more than 5 years?,"To find open courses, query ""Which courses are currently open for enrollment?"" and ensure 'currentlyEnrolling' is 'True'. Use duration filters for courses under 10 hours or 40 hours and more. Include keywords in descriptions to search by topic. Verify course titles for key outcomes if no results appear. For experienced instructors, query ""Which instructors have over 10 years of teaching experience?"" and check 'yearsOfTeaching'. View an instructor's biography by querying ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. Identify tenured instructors by querying ""Which instructors are tenured?"" and ensure 'tenured' is 'True'. To find the instructor with the longest career, use ""Who has the longest teaching career among all instructors?"" and check 'yearsOfTeaching' for the maximum value. For instructors with a 'hands-on learning' philosophy, query ""Which instructors mention a 'hands-on learning' philosophy in their biography?"" and search the 'biography' field. To find instructors with specific teaching methods, query ""Which instructors have a biography mentioning '[specific teaching method]' and have been teaching for more than [number] years?"" and check 'yearsOfTeaching' for the specified duration. List full-time students by querying ""List all students who are enrolled full-time"" and ensure 'enrolledFullTime' is 'True'. To find students with over 30 credits, query ""Which students have completed more than 30 credits?"" and check 'completedCredits' for values over 30. To find a student's research interests, query ""Show me the research interests of the student named [Student's Name]"" and ensure the name is spelled correctly. For students with specific research interests, query ""Find students with research interests in [specific topic]"" and search the 'researchInterests' field for relevant keywords."
17,Which courses currently open for enrollment have a duration under 20 hours?,"To find open courses, query ""Which courses are currently open for enrollment?"" and ensure 'currentlyEnrolling' is 'True'. Use duration filters for courses under 10, 20, or 40 hours. Include keywords in descriptions to search by topic. Verify course titles for key outcomes if no results appear. For experienced instructors, query ""Which instructors have over 10 years of teaching experience?"" and check 'yearsOfTeaching'. View an instructor's biography by querying ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. Identify tenured instructors by querying ""Which instructors are tenured?"" and ensure 'tenured' is 'True'. To find the instructor with the longest career, use ""Who has the longest teaching career among all instructors?"" and check 'yearsOfTeaching' for the maximum value. For instructors with a 'hands-on learning' philosophy, query ""Which instructors mention a 'hands-on learning' philosophy in their biography?"" and search the 'biography' field. To find instructors with specific teaching methods, query ""Which instructors have a biography mentioning '[specific teaching method]' and have been teaching for more than [number] years?"" and check 'yearsOfTeaching' for the specified duration. List full-time students by querying ""List all students who are enrolled full-time"" and ensure 'enrolledFullTime' is 'True'. To find students with over 30 credits, query ""Which students have completed more than 30 credits?"" and check 'completedCredits' for values over 30. To find a student's research interests, query ""Show me the research interests of the student named [Student's Name]"" and ensure the name is spelled correctly. For students with specific research interests, query ""Find students with research interests in [specific topic]"" and search the 'researchInterests' field for relevant keywords."
18,Show me all students who have completed at least 20 credits but are not enrolled full-time.,"To find open courses, query ""Which courses are currently open for enrollment?"" and ensure 'currentlyEnrolling' is 'True'. Use duration filters for courses under 10, 20, or 40 hours. Include keywords in descriptions to search by topic. Verify course titles for key outcomes if no results appear. For experienced instructors, query ""Which instructors have over 10 years of teaching experience?"" and check 'yearsOfTeaching'. View an instructor's biography by querying ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. Identify tenured instructors by querying ""Which instructors are tenured?"" and ensure 'tenured' is 'True'. To find the instructor with the longest career, use ""Who has the longest teaching career among all instructors?"" and check 'yearsOfTeaching' for the maximum value. For instructors with a 'hands-on learning' philosophy, query ""Which instructors mention a 'hands-on learning' philosophy in their biography?"" and search the 'biography' field. To find instructors with specific teaching methods, query ""Which instructors have a biography mentioning '[specific teaching method]' and have been teaching for more than [number] years?"" and check 'yearsOfTeaching' for the specified duration. List full-time students by querying ""List all students who are enrolled full-time"" and ensure 'enrolledFullTime' is 'True'. To find students with over 30 credits, query ""Which students have completed more than 30 credits?"" and check 'completedCredits' for values over 30. To find students with at least 20 credits but not enrolled full-time, query ""Show me all students who have completed at least 20 credits but are not enrolled full-time"" and ensure 'completedCredits' is 20 or more and 'enrolledFullTime' is 'False'. To find a student's research interests, query ""Show me the research interests of the student named [Student's Name]"" and ensure the name is spelled correctly. For students with specific research interests, query ""Find students with research interests in [specific topic]"" and search the 'researchInterests' field for relevant keywords."
19,Which instructors are tenured and have a teaching philosophy related to 'project-based learning'?,"To find open courses, query ""Which courses are currently open for enrollment?"" and ensure 'currentlyEnrolling' is 'True'. Use duration filters for courses under 10, 20, or 40 hours. Include keywords in descriptions to search by topic. Verify course titles for key outcomes if no results appear. For experienced instructors, query ""Which instructors have over 10 years of teaching experience?"" and check 'yearsOfTeaching'. View an instructor's biography by querying ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. Identify tenured instructors by querying ""Which instructors are tenured?"" and ensure 'tenured' is 'True'. To find the instructor with the longest career, use ""Who has the longest teaching career among all instructors?"" and check 'yearsOfTeaching' for the maximum value. For instructors with a 'hands-on learning' philosophy, query ""Which instructors mention a 'hands-on learning' philosophy in their biography?"" and search the 'biography' field. To find instructors with specific teaching methods, query ""Which instructors have a biography mentioning '[specific teaching method]' and have been teaching for more than [number] years?"" and check 'yearsOfTeaching' for the specified duration. To find tenured instructors with a specific teaching philosophy, query ""Which tenured instructors have a teaching philosophy related to '[specific teaching method]'?"" and ensure 'tenured' is 'True' and search the 'biography' field. List full-time students by querying ""List all students who are enrolled full-time"" and ensure 'enrolledFullTime' is 'True'. To find students with over 30 credits, query ""Which students have completed more than 30 credits?"" and check 'completedCredits' for values over 30. To find students with at least 20 credits but not enrolled full-time, query ""Show me all students who have completed at least 20 credits but are not enrolled full-time"" and ensure 'completedCredits' is 20 or more and 'enrolledFullTime' is 'False'. To find a student's research interests, query ""Show me the research interests of the student named [Student's Name]"" and ensure the name is spelled correctly. For students with specific research interests, query ""Find students with research interests in [specific topic]"" and search the 'researchInterests' field for relevant keywords."
20,Which courses specifically mention 'capstone project' in their description and are currently enrolling?,"To find open courses, query ""Which courses are currently open for enrollment?"" and ensure 'currentlyEnrolling' is 'True'. Use duration filters for courses under 10, 20, or 40 hours. Include keywords in descriptions to search by topic, such as ""capstone project"". Verify course titles for key outcomes if no results appear. For experienced instructors, query ""Which instructors have over 10 years of teaching experience?"" and check 'yearsOfTeaching'. View an instructor's biography by querying ""Show me the biography of the instructor named [Instructor's Name]"" with correct spelling. Identify tenured instructors by querying ""Which instructors are tenured?"" and ensure 'tenured' is 'True'. To find the instructor with the longest career, use ""Who has the longest teaching career among all instructors?"" and check 'yearsOfTeaching' for the maximum value. For instructors with a 'hands-on learning' philosophy, query ""Which instructors mention a 'hands-on learning' philosophy in their biography?"" and search the 'biography' field. To find instructors with specific teaching methods, query ""Which instructors have a biography mentioning '[specific teaching method]' and have been teaching for more than [number] years?"" and check 'yearsOfTeaching'. To find tenured instructors with a specific teaching philosophy, query ""Which tenured instructors have a teaching philosophy related to '[specific teaching method]'?"" and ensure 'tenured' is 'True' and search the 'biography' field. List full-time students by querying ""List all students who are enrolled full-time"" and ensure 'enrolledFullTime' is 'True'. To find students with over 30 credits, query ""Which students have completed more than 30 credits?"" and check 'completedCredits'. To find students with at least 20 credits but not enrolled full-time, query ""Show me all students who have completed at least 20 credits but are not enrolled full-time"" and ensure 'completedCredits' is 20 or more and 'enrolledFullTime' is 'False'. To find a student's research interests, query ""Show me the research interests of the student named [Student's Name]"" and ensure the name is spelled correctly. For students with specific research interests, query ""Find students with research interests in [specific topic]"" and search the 'researchInterests' field."
